"path","label","sha256","split"
"data/raw/casting_data/casting_data/train/ok_front/cast_ok_0_6647.jpeg","OK","d11074540fc95c475ce9f9b1298e5ffecaebd419131f1ca540e1f31986a7db17","train"
"data/raw/casting_data/casting_data/train/ok_front/cast_ok_0_8601.jpeg","OK","cfa1fcc514639fe847cb02a360ae67a8d5f8e57966aedff6c8e4188f42708f4b","train"
"data/raw/casting_data/casting_data/train/def_front/cast_def_0_4046.jpeg","Defective","09deaae1393b9ffe0caec3ec2e213cdb18d9360b822ff12e6788facbcfe51ac4","train"
"data/raw/casting_data/casting_data/train/def_front/cast_def_0_9855.jpeg","Defective","9fb34dcba5662d03be907ea816a3b44d632300c328e6443bb709c83ed00264f6","train"
"data/raw/casting_data/casting_data/train/ok_front/cast_ok_0_8158.jpeg","OK","aa265dcad18284931acdb7a4a85efefdfa0e86e2f10be3103d7bb2d1a60222c9","train"
"data/raw/casting_data/casting_data/train/def_front/cast_def_0_9443.jpeg","Defective","793d5896153b30feaccf2b9bbfbb11fc56543dcddf1d25e02dd07329e7331c8a","train"
"data/raw/casting_data/casting_data/train/def_front/cast_def_0_4125.jpeg","Defective","ce74a6bd04126c3aa693c8f369a9c33f5dc0a870f6759f07402236c651c58881","train"
"data/raw/casting_data/casting_data/train/def_front/cast_def_0_6687.jpeg","Defective","c13e006efd32f9f41384ba2cef8f031b0e6a2b3d56936426c816cf5c2203a40d","train"
"data/raw/casting_data/casting_data/train/def_front/cast_def_0_8529.jpeg","Defective","2b5aaffb4aba7e595765734cb285d89cd2ccf77e2859f9ef473ac0e8484eeb5e","train"
"data/raw/casting_data/casting_data/test/ok_front/cast_ok_0_6401.jpeg","OK","5321e544bd004ad6dc41f9aabbc8659e81d62edb623d52fcb21dea52e456bdff","train"
"data/raw/casting_data/casting_data/train/def_front/cast_def_0_8079.jpeg","Defective","d608b941e54a7fea461b65191cf294a851e8c9373fba61a38881cedd810eb133","train"
"data/raw/casting_data/casting_data/train/def_front/cast_def_0_8043.jpeg","Defective","6cfc76c536e0895b2c3014319a8e17c1857f62c9549312804803f4a5216f8896","train"
"data/raw/casting_data/casting_data/train/def_front/cast_def_0_5723.jpeg","Defective","dc2d0e371df910e951493d1d11b260228b6de83dbd704179c255ff09d3034f95","train"
"data/raw/casting_data/casting_data/train/def_front/cast_def_0_5303.jpeg","Defective","1aca0681101313c46032e628f294aaac4a0a832d601cee78e8632c23066e6ee0","train"
"data/raw/casting_data/casting_data/train/def_front/cast_def_0_7208.jpeg","Defective","e5d831a36f9005a292880eb40a498f5c1f0f79bc7d7ce4b51d0c1ee1d6b9153a","train"
"data/raw/casting_data/casting_data/train/ok_front/cast_ok_0_7100.jpeg","OK","20ef0e8d8006bbedf1160a43ec52093cde3991767e1ebd7ebaeec5014e6c3b55","train"
